client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
31a6d0b73e2f79e4293c6ec6b0f14895ef3d2c369dd4b8891c6d1276d7faa5033f6c1161fae602ccd29fec6d7cb0ec04018e148013cbab4b25bedc12d5e64ef0	common_voice_en_39591029.mp3	e3f463105606adbbb2018eb39d4b5b3762fc3007cdd7687471afbb0717b8d51f	The park contains two tennis courts, four netball courts and four ovals.		2	0			United States English|Southern United States English		en	
5ec90988d9c5189763d89f2142adc082807059cfed1c9d24b558614bb6c62ab64c0ab650a96a7ea9c8eb05e324d7ad66cc7d3333f6fba4ef3c4845707252c05a	common_voice_en_43198525.mp3	faa752dfd57664cfd6fc49260a36c8911d24d5d5f4bea9c529623a09aecee876	In matchplay he defeated Kieseritsky and Loewenthal.		2	0			United States English|United States Southeastern English (Charlotte NC)		en	
b67e85fbd32a62e815e3377489142243d625ca656019677b20cff080f4fa96a05debca5eab8afdd5d1f6b6d17562cbe60b480399342ed71eb9ff9c51fe28bf39	common_voice_en_42683011.mp3	f882777907f92d19be2f547720bbc33797fd730230d548ef374dbb2e85b3a234	"This left ""Sackville"" as the sole remaining Flower-class corvette."		3	0	fifties		United States English|East Texas		en	
fadb89f3d11a9adb319d41c34054887d0885303c81316da52b0600a87cca7175459a82a60ac9aa77e91a87b0988486544652ad16f588d3f4913d05b906892035	common_voice_en_41976126.mp3	f6347c587e8d0f08a1c453344d12093cb9d8f9b31169d3ef530e984f08c31dfe	"Its name derives from the Latin ""arachis""-peanut."		2	0			United States English|Texas		en	
6a27b0caec1c9330a80b7ad0420dd8cd10aa2b48675088d19cdba233a3a8445ba8e6056d327c0bfe2f359bd7a81ea6780638271b69f5cadb563dec647c33e613	common_voice_en_39581736.mp3	e343563d3d9f008bed630f0aba8e0260133687def0311955d83d3f51516c9f98	She also had feelings for Ukiah, revealed during her kidnapping.		4	0			United States English|Deep South US		en	
6a27b0caec1c9330a80b7ad0420dd8cd10aa2b48675088d19cdba233a3a8445ba8e6056d327c0bfe2f359bd7a81ea6780638271b69f5cadb563dec647c33e613	common_voice_en_39581732.mp3	e3452adc5d76c7e7022644415b092772992b4ecef2d7a6576fafbe4e9c4b4767	The honoree will usually perform themselves after being paid tribute.		2	0			United States English|Deep South US		en	
6a27b0caec1c9330a80b7ad0420dd8cd10aa2b48675088d19cdba233a3a8445ba8e6056d327c0bfe2f359bd7a81ea6780638271b69f5cadb563dec647c33e613	common_voice_en_39581733.mp3	e331159eb2841556cab3a65d75afd5b2432e0427390a368c9fe756b394494983	He was survived by his wife, Katherine Briggs Dodge Day, and daughter Wendy.		2	0			United States English|Deep South US		en	
8c61aea7846091d5123947a3e390239e6dd6eb698bcc577bcd5a73bab6b8d8f8f13d93fc52a9545ade363a01191deda014dfa2047518fbfe549119fb80a4309f	common_voice_en_36955545.mp3	cc83c7080ec92c880067e31d6ddbe77202344020bf888d5c59f65ff502d09632	It was released in the United States under the title The Fighting Pimpernel.		14	2			United States English|kentucky		en	
8c61aea7846091d5123947a3e390239e6dd6eb698bcc577bcd5a73bab6b8d8f8f13d93fc52a9545ade363a01191deda014dfa2047518fbfe549119fb80a4309f	common_voice_en_36955546.mp3	cc3927a81bff6ffa34b240609ef4f88c166d5b41b842b54d0e218ce8d20004d5	Vermont used At-large seats.		4	0			United States English|kentucky		en	
8c61aea7846091d5123947a3e390239e6dd6eb698bcc577bcd5a73bab6b8d8f8f13d93fc52a9545ade363a01191deda014dfa2047518fbfe549119fb80a4309f	common_voice_en_36955543.mp3	80293657e605cfbba90ec721b3148584e53aa7ab366c37f383a0f207f13c8c74	The oak had been preceded by the pine or Scotch fir.		2	0			United States English|kentucky		en	
8d011b1f946fead928c25323146c025920d83254543ac5162e214dd71694e459d2bd165346382841305177cd51502a31cccfe59b0c7c52a1446fd31aef58e4a9	common_voice_en_38283988.mp3	621ea1aa519dd0422beb360b3b1463121acdd8ae6394925c1593f2bebc18d63d	A branch of a tree is stuck in the breast of the puppet.		2	0			United States English|Southern with a stutter		en	
8d011b1f946fead928c25323146c025920d83254543ac5162e214dd71694e459d2bd165346382841305177cd51502a31cccfe59b0c7c52a1446fd31aef58e4a9	common_voice_en_38283990.mp3	610fa8891843e8c05f8ca27ba037c5c291642a82f15821eed04dfdba3f99f331	A young child is believed to be especially exposed to supernatural dangers.		2	0			United States English|Southern with a stutter		en	
8d011b1f946fead928c25323146c025920d83254543ac5162e214dd71694e459d2bd165346382841305177cd51502a31cccfe59b0c7c52a1446fd31aef58e4a9	common_voice_en_38283992.mp3	280e31a291949e927e800e6af4e11ff062f58d157df4eaa82474e034210f5d9d	His ghost is apt to fall foul of the first person he comes across.		4	0			United States English|Southern with a stutter		en	
022a5041fe8ee69b607d66747842b602c7a884628f4a9b7e6eaa2c8250c4297e213e656762f8c03298daf7075749cf7b58f35769c8246b5da6c68cee5329fdbf	common_voice_en_36905615.mp3	26c1663a1cd5aa2f0a3bfe5176630793ed50f8eb203525b54295913da9197fe1	The missionary went to Botswana.		8	4	thirties	male_masculine	United States English|Kentucky united states accent|southern usa		en	
022a5041fe8ee69b607d66747842b602c7a884628f4a9b7e6eaa2c8250c4297e213e656762f8c03298daf7075749cf7b58f35769c8246b5da6c68cee5329fdbf	common_voice_en_36905612.mp3	493463dfebcec3fccd6cac80cf5d9f5eafed50ed1f28cfdba43d5ea8a0cb1636	The honor of reigning is very frequently rejected in Africa.		8	0	thirties	male_masculine	United States English|Kentucky united states accent|southern usa		en	
022a5041fe8ee69b607d66747842b602c7a884628f4a9b7e6eaa2c8250c4297e213e656762f8c03298daf7075749cf7b58f35769c8246b5da6c68cee5329fdbf	common_voice_en_36905614.mp3	3be9198ef42b2e582b47e3fec4266b62f978cc38721303cdde8f55b9d67814ee	The garlands consist of two hoops, one passing through the other.		4	0	thirties	male_masculine	United States English|Kentucky united states accent|southern usa		en	
022a5041fe8ee69b607d66747842b602c7a884628f4a9b7e6eaa2c8250c4297e213e656762f8c03298daf7075749cf7b58f35769c8246b5da6c68cee5329fdbf	common_voice_en_36905613.mp3	476265c171be0835da3fbb89db09d30b9d3a0893e422c0f1903af5fa0d1888c0	They ask Green Thursday what he has done with the keys.		8	4	thirties	male_masculine	United States English|Kentucky united states accent|southern usa		en	
0b1291e9682fbf98afc05ca535437129818c8c89a7259d5b7f66ea0494adc51da88f37610b72448354bc0f516431aeb77fa41840595025d4900f1e306ef8188f	common_voice_en_29881658.mp3	03f424aa49d7cf9c3cb435005072a7b8d61dd92ecbfb8729598d577b68d582c5	Conv.		6	0			United States English|Southern Texas Accent		en	
0b1291e9682fbf98afc05ca535437129818c8c89a7259d5b7f66ea0494adc51da88f37610b72448354bc0f516431aeb77fa41840595025d4900f1e306ef8188f	common_voice_en_29881660.mp3	04313951008129b989b8c2f4c2da114b55ba791f34cbd5a7de380173f88a9908	He did not play for them.		6	0			United States English|Southern Texas Accent		en	
0b1291e9682fbf98afc05ca535437129818c8c89a7259d5b7f66ea0494adc51da88f37610b72448354bc0f516431aeb77fa41840595025d4900f1e306ef8188f	common_voice_en_29881659.mp3	03c59673fc57073f32228c76df799a9d2382459fc6682c7ad6226ae6efb7fefb	She began piano education at the age of six.		6	3			United States English|Southern Texas Accent		en	
0b1291e9682fbf98afc05ca535437129818c8c89a7259d5b7f66ea0494adc51da88f37610b72448354bc0f516431aeb77fa41840595025d4900f1e306ef8188f	common_voice_en_29881661.mp3	04293147e26e0837e43d19827a61e128cd301122527944c139aa9d094c789b25	Its native range is Mexico to Venezuela.		6	3			United States English|Southern Texas Accent		en	
1f0b6cd1417e0f2d931ed76edb8558acfa2d58ece3c91755abe4c94a983d586a62a5c8368dc36b39a1290073bb1cfb190283d89fe46030bcb493c509efc496ec	common_voice_en_32669604.mp3	8e50be02de05badfa850ec698624720c65a2146c8e4c4bb438b7fb6447649f06	It is divided into High Petergate and Low Petergate.		6	0			United States English|Midwest USA speech blended with South Texas USA speech		en	
1f0b6cd1417e0f2d931ed76edb8558acfa2d58ece3c91755abe4c94a983d586a62a5c8368dc36b39a1290073bb1cfb190283d89fe46030bcb493c509efc496ec	common_voice_en_32669608.mp3	8f33f11f91f3e583d0e6f8b0dc117ad21762827085de27268d0f4df58cb2ad4c	It was developed by syn Sophia and published by Takara Tomy.		3	0			United States English|Midwest USA speech blended with South Texas USA speech		en	
1f0b6cd1417e0f2d931ed76edb8558acfa2d58ece3c91755abe4c94a983d586a62a5c8368dc36b39a1290073bb1cfb190283d89fe46030bcb493c509efc496ec	common_voice_en_32669607.mp3	8f3bd9ac9165c1f810a6ecf01a6754cb535535c0ca5043a018922f8f4537da53	Bernstein was at the scene in Jersey City and Monsey shortly after the incidents.		6	0			United States English|Midwest USA speech blended with South Texas USA speech		en	
1f0b6cd1417e0f2d931ed76edb8558acfa2d58ece3c91755abe4c94a983d586a62a5c8368dc36b39a1290073bb1cfb190283d89fe46030bcb493c509efc496ec	common_voice_en_32669600.mp3	8eb961e96e9e10fd23729ab1377697a7ecc6eb5083e9f35f13f78bd9691e7c4e	Her traditional beadwork is in the collections of several museums.		6	0			United States English|Midwest USA speech blended with South Texas USA speech		en	
33f8f9bdac0595c8d9b5aa3db75ecc08400348554948a6e2430dcb3094d2115d76a5dbf967d45a66aa2e7311dfd81b11c2ab2b6f406fe80afbd4a2afcf847591	common_voice_en_38281189.mp3	48af3609719d1499dd8719bd04cdd8523902efc528a36cb18356b23931c16924	The strictest taboo is on the names of parents-in-law.		2	0			United States English|southern United States		en	
